#====================================================
#       t = 1.2
#====================================================
#x              rho
#====================================================
0               0.600001
0.01            0.600001
0.02            0.600002
0.03            0.600003
0.04            0.600005
0.05            0.600007
0.06            0.600011
0.07            0.600015
0.08            0.600021
0.09            0.60003
0.1             0.600041
0.11            0.600055
0.12            0.600072
0.13            0.600093
0.14            0.600118
0.15            0.600148
0.16            0.600181
0.17            0.600218
0.18            0.600258
0.19            0.6003
0.2             0.600341
0.21            0.600382
0.22            0.600419
0.23            0.600451
0.24            0.600476
0.25            0.600492
0.26            0.6005
0.27            0.600497
0.28            0.600484
0.29            0.600463
0.3             0.600433
0.31            0.600397
0.32            0.600357
0.33            0.600314
0.34            0.60027
0.35            0.600227
0.36            0.600187
0.37            0.600151
0.38            0.600119
0.39            0.600092
0.4             0.600069
0.41            0.600051
0.42            0.600036
0.43            0.600026
0.44            0.600018
0.45            0.600012
0.46            0.600008
0.47            0.600005
0.48            0.600003
0.49            0.600002
0.5             0.600001
0.51            0.600001
0.52            0.6
0.53            0.6
0.54            0.6
0.55            0.6
0.56            0.6
0.57            0.6
0.58            0.6
0.59            0.6
0.6             0.6
0.61            0.6
0.62            0.6
0.63            0.6
0.64            0.6
0.65            0.6
0.66            0.6
0.67            0.6
0.68            0.6
0.69            0.6
0.7             0.6
0.71            0.6
0.72            0.6
0.73            0.6
0.74            0.6
0.75            0.6
0.76            0.6
0.77            0.6
0.78            0.6
0.79            0.6
0.8             0.6
0.81            0.6
0.82            0.6
0.83            0.6
0.84            0.6
0.85            0.6
0.86            0.6
0.87            0.6
0.88            0.6
0.89            0.6
0.9             0.6
0.91            0.6
0.92            0.6
0.93            0.6
0.94            0.6
0.95            0.6
0.96            0.6
0.97            0.6
0.98            0.6
0.99            0.600001
1               0.600001
