#====================================================
#       t = 2.7
#====================================================
#x              rho
#====================================================
0               0.600433
0.010101        0.600396
0.020202        0.600355
0.030303        0.600312
0.040404        0.600267
0.0505051       0.600224
0.0606061       0.600184
0.0707071       0.600147
0.0808081       0.600114
0.0909091       0.600086
0.10101         0.600063
0.111111        0.600045
0.121212        0.600031
0.131313        0.600021
0.141414        0.600013
0.151515        0.600008
0.161616        0.600005
0.171717        0.600003
0.181818        0.600001
0.191919        0.600001
0.20202         0.6
0.212121        0.6
0.222222        0.6
0.232323        0.6
0.242424        0.6
0.252525        0.6
0.262626        0.6
0.272727        0.6
0.282828        0.6
0.292929        0.6
0.30303         0.6
0.313131        0.6
0.323232        0.6
0.333333        0.6
0.343434        0.6
0.353535        0.6
0.363636        0.6
0.373737        0.6
0.383838        0.6
0.393939        0.6
0.40404         0.6
0.414141        0.6
0.424242        0.6
0.434343        0.6
0.444444        0.6
0.454545        0.6
0.464646        0.6
0.474747        0.6
0.484848        0.6
0.494949        0.6
0.505051        0.6
0.515152        0.6
0.525253        0.6
0.535354        0.6
0.545455        0.6
0.555556        0.6
0.565657        0.6
0.575758        0.6
0.585859        0.6
0.59596         0.6
0.606061        0.6
0.616162        0.6
0.626263        0.6
0.636364        0.6
0.646465        0.6
0.656566        0.6
0.666667        0.6
0.676768        0.6
0.686869        0.600001
0.69697         0.600001
0.707071        0.600002
0.717172        0.600003
0.727273        0.600004
0.737374        0.600006
0.747475        0.600008
0.757576        0.600012
0.767677        0.600016
0.777778        0.600023
0.787879        0.600031
0.79798         0.600042
0.808081        0.600055
0.818182        0.600072
0.828283        0.600093
0.838384        0.600117
0.848485        0.600146
0.858586        0.600179
0.868687        0.600215
0.878788        0.600254
0.888889        0.600296
0.89899         0.600338
0.909091        0.600378
0.919192        0.600416
0.929293        0.600448
0.939394        0.600474
0.949495        0.600492
0.959596        0.600499
0.969697        0.600497
0.979798        0.600485
0.989899        0.600463
1               0.600433
